Model Name,R2 Score,MAE,MSE,Train Time (s),,,,,,,
Linear Regression,1,0,0,0.09,,,,,,,
Ridge Regression,1,0,0,0.02,,,,,,,
Lasso Regression,1,0.01,0,0.04,,,,,,,
CatBoost,1,0.02,0,2.65,,,,,,,
ElasticNet,1,0.02,0,0.03,,,,,,,
Decision Tree,1,0.06,0.01,0.46,,,,,,,
Random Forest,1,0.01,0,38.92,,,,,,,
Gradient Boosting,1,0.02,0,34.92,,,,,,,
XGBoost,1,0.02,0,0.99,,,,,,,
Deep Learning (FNN),0.99,0.08,0.02,55.9,,,,,,,
Support Vector Regressor,0.99,0.09,0.02,103.66,,,,,,,
AdaBoost,0.94,0.35,0.19,10.42,,,,,,,
